DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
0.75,107000,1125
0.24,0,0
0.24,0,0
1.96,0,2052
0.34,72000,1011
3.16,101000,968
0.23,71500,1000
0.61,0,2123
0.58,370000,4308
0.46,2000,1838
1.61,0,0
0.26,900000,3031
0.3,131000,1986
6.17,541000,3951
0.25,0,0
0.24,0,0
2.23,0,3678
5.88,1100000,10920
0.46,460000,1792
0.4,0,0
0.36,0,0
0.61,47000,1092
0.39,105000,1292
0.15,0,708
0.34,242500,0
0.25,0,0
0.68,0,1352
0.2,0,0
0.06,1000,586
0.07,50000,992
0.14,62500,2029
0.29,54500,1815
0.47,83000,1242
0.49,107500,1568
0.48,80000,1302
0.23,160000,1793
0.59,250000,1485
0.16,470000,2693
0.09,255000,3508
0.51,142500,2193
63.64,0,4519
0.2,0,975
0.23,0,800
0.24,0,0
0.24,0,0
0.85,0,1272
0.85,0,1026
0.23,225000,916
1.26,452000,0
0.49,262000,2103
0.32,63000,1176
0.33,26500,1580
0.19,417500,2978
1.6,0,0
3.34,0,0
2.3,0,1500
2.3,0,1792
9.9,0,768
3.29,0,2756
2.81,415000,3510
0.15,335000,2317
0.18,188000,1008
0.17,305000,1140
0.57,155000,1753
0.15,350000,1628
0.11,0,884
0.29,1000000,3257
0.5,0,1456
0.47,28000,1395
0.32,117000,1911
0.29,69000,720
0.33,520000,3042
0.08,0,0
0.29,2000,1950
0.37,35500,1636
0.67,0,1805
3,0,3600
3,0,5160
12.54,375000,2434
12.54,375000,1772
0.49,0,0
0.69,270000,1996
0.55,817000,3000
0.82,150000,2286
10.73,0,0
1.1,60000,898
0.46,410000,1819
0.26,345000,1514
0.14,373500,1962
0.65,0,2995
0.57,267500,2149
0.2,0,1800
1.1,90000,1492
0.34,108000,1142
8.84,672000,0
0.23,0,957
0.27,240000,6792
2.99,1300000,2852
1.07,0,1650
0.2,113000,820
0.22,435000,1800
0.33,48000,1515
0.39,62000,1411
1,40000,975
0.36,190000,2744
0.36,211000,3841
0.26,300000,1072
0.26,130000,1012
0.24,287000,1418
7.44,0,1828
0.19,0,0
0.21,120000,0
0.21,121000,0
0.3,0,0
0.32,210000,1431
0.78,142000,1580
0.04,240000,1280
0.04,187500,1216
0.17,31500,936
0.1,308000,1697
0.07,12500,697
0.08,12500,697
0.04,262500,1280
0.1,222500,1080
0.18,555000,2696
0.14,185000,1137
0.2,97000,1230
1.4,138000,2158
66.5,0,0
0.61,0,0
0.55,0,1840
0.76,225000,2412
13.78,93000,960
0.38,340000,1323
0.23,281000,1174
0.59,260000,1349
0.38,0,1025
0.54,1500,1641
0.55,0,1354
0.57,0,0
0.34,0,1456
0.32,143000,1436
0.49,770000,4392
0.41,0,1065
1.04,31000,2046
0.25,0,3997
0.34,0,0
0.63,30000,0
0.31,103000,1534
1.08,200000,2208
0.34,1475000,3873
0.68,300000,6204
0.45,145000,1941
0.25,72500,1413
2.49,0,2592
0.13,340500,1241
0.34,34500,1728
0.59,289000,2627
2.3,0,0
0.19,90000,992
0.51,142500,1825
2.3,0,2072
0.5,105000,1296
0.32,492000,2224
0.62,0,1500
0.16,120000,2991
0.1,265000,1410
0.29,190000,3674
0.34,52000,1107
0.26,0,2440
0.46,165000,2562
1,0,1266
0.33,60000,1000
0.92,142000,924
0.39,530000,2560
0.24,81000,1299
0.3,200000,1707
0.44,195000,1791
0.6,127000,1687
0.46,144000,1592
0.24,16000,972
0.16,160000,1500
0.64,260000,5328
0.32,0,1508
0.32,0,1508
0.32,0,1508
0.42,116500,2393
0.56,385000,3273
0.4,165000,2107
0.6,97500,2218
2.39,700000,7560
2.39,700000,2400
1.07,0,2396
12,510000,2671
0.49,270000,1811
0.2,15500,796
0.48,0,1404
0.18,160000,1488
2.5,0,0
2.3,0,4629
0.07,0,2400
0.32,34000,1713
0.21,1000,968
44.44,0,0
20,35000,0
48,36000,0
2.23,219000,2620
0.46,55000,2241
106.5,0,2767
2.07,0,2442
15.51,0,0
0.4,350000,2346
0.32,77000,1875
0.49,405000,2428
0.2,55000,1012
10.58,500,0
0.31,0,1308
0.17,2500,864
0.17,17000,832
0.47,0,0
0.18,0,975
0.25,50000,1856
0.66,0,1809
1.18,0,0
0.03,0,0
0.1,44500,1060
0.14,2500,0
0.26,33500,2048
